periodo_fecha,Categoria_comercio,comercios_activos,transacciones,comision_estimada,% comisión del mes
2020-12-01,Alimentos y bebidas,26,172,416119.8407773375,3.1
2021-01-01,Alimentos y bebidas,41,333,849329.7896836585,3.0
2021-02-01,Alimentos y bebidas,105,1220,4749241.595373706,6.7
2021-03-01,Alimentos y bebidas,351,4433,13675831.371691352,7.3
2021-04-01,Alimentos y bebidas,288,5803,15815751.87861871,10.2
2021-05-01,Alimentos y bebidas,283,7250,20963953.873855237,10.1
2020-12-01,Belleza y cuidado personal,22,121,1588912.7728723607,11.9
2021-01-01,Belleza y cuidado personal,27,145,1471227.3366271616,5.2
2021-02-01,Belleza y cuidado personal,67,536,4889679.88792122,6.9
2021-03-01,Belleza y cuidado personal,187,1173,8136185.9059402365,4.4
2021-04-01,Belleza y cuidado personal,149,1004,6649079.29824879,4.3
2021-05-01,Belleza y cuidado personal,145,1513,10002600.148390234,4.8
2020-12-01,Comercio detallista,73,599,5379386.525320164,40.2
2021-01-01,Comercio detallista,176,970,15576525.455785833,55.6
2021-02-01,Comercio detallista,483,3062,44104074.65068466,62.1
2021-03-01,Comercio detallista,1514,9047,120750634.8321468,64.6
2021-04-01,Comercio detallista,1177,7415,95797815.33588792,62.0
2021-05-01,Comercio detallista,1179,10198,132389141.756057,63.7
2021-01-01,Educación,1,1,792.5,0.0
2021-02-01,Educación,2,4,108003.57142857143,0.2
2021-03-01,Educación,8,24,907681.6266233766,0.5
2021-04-01,Educación,5,13,488016.89448051946,0.3
2021-05-01,Educación,7,26,706781.6574675324,0.3
2020-12-01,Reparación y limpieza,8,30,821273.1296992481,6.1
2021-01-01,Reparación y limpieza,28,106,3288670.856326591,11.7
2021-02-01,Reparación y limpieza,53,230,3906223.7060112883,5.5
2021-03-01,Reparación y limpieza,148,715,9824680.74850682,5.3
2021-04-01,Reparación y limpieza,105,542,7932101.621111121,5.1
2021-05-01,Reparación y limpieza,110,774,9518321.559021624,4.6
2020-12-01,Servicios,64,455,5015679.163900462,37.5
2021-01-01,Servicios,73,612,6761802.333813238,24.1
2021-02-01,Servicios,151,930,11509093.798756504,16.2
2021-03-01,Servicios,432,2463,29808762.94481488,15.9
2021-04-01,Servicios,315,2055,23659990.039543558,15.3
2021-05-01,Servicios,317,2715,29505236.87211254,14.2
2020-12-01,Transporte,3,24,11741.407528641572,0.1
2021-01-01,Transporte,4,61,11603.892915595043,0.0
2021-02-01,Transporte,17,95,113321.69377820761,0.2
2021-03-01,Transporte,65,153,1405087.4254619034,0.8
2021-04-01,Transporte,35,137,1835479.923843122,1.2
2021-05-01,Transporte,27,130,2310131.40647253,1.1
2020-12-01,Turismo y entretenimiento,2,7,135066.66666666666,1.0
2021-01-01,Turismo y entretenimiento,3,6,72348.33333333333,0.3
2021-02-01,Turismo y entretenimiento,9,57,1670764.3478758172,2.4
2021-03-01,Turismo y entretenimiento,32,197,2508653.455981223,1.3
2021-04-01,Turismo y entretenimiento,21,253,2312036.771710325,1.5
2021-05-01,Turismo y entretenimiento,19,343,2304324.924432636,1.1
