periodo_fecha,segmento_final_nombre,comercios_activos,transacciones,comision_estimada,% comisión del mes
2020-12-01,Valor alto,7,64,1627540.3015829588,12.2
2021-01-01,Valor alto,16,162,3214719.173937684,11.5
2021-02-01,Valor alto,32,511,6982424.712270197,9.8
2021-03-01,Valor alto,41,809,7749625.568800271,4.1
2021-04-01,Valor alto,37,443,4931814.731761396,3.2
2021-05-01,Valor alto,36,579,6405932.611647495,3.1
2020-12-01,Valor medio,53,119,1136289.0906788248,8.5
2021-01-01,Valor medio,48,139,906416.6625126647,3.2
2021-02-01,Valor medio,129,278,894560.5725438048,1.3
2021-03-01,Valor medio,463,751,2635351.5495632463,1.4
2021-04-01,Valor medio,69,91,69503.48333333334,0.0
2021-05-01,Valor medio,26,43,9655.77380952381,0.0
2020-12-01,Valor medio-alto,138,1225,10604350.114503097,79.3
2021-01-01,Valor medio-alto,289,1933,23911164.662035063,85.3
2021-02-01,Valor medio-alto,726,5345,63173417.967015974,88.9
2021-03-01,Valor medio-alto,2233,16645,176632541.19280306,94.4
2021-04-01,Valor medio-alto,1989,16688,149488953.54834935,96.8
2021-05-01,Valor medio-alto,2025,22327,201284903.8123523,96.9
