periodo_fecha,comision_meta_lineal
2021-05-01,207700492.1978093
2021-06-01,213166294.62406746
2021-07-01,218632097.05032557
2021-08-01,224097899.47658372
2021-09-01,229563701.90284187
2021-10-01,235029504.3291
2021-11-01,240495306.75535816
2021-12-01,245961109.18161628
2022-01-01,251426911.60787442
2022-02-01,256892714.03413257
2022-03-01,262358516.4603907
2022-04-01,267824318.88664883
2022-05-01,273290121.312907
2022-06-01,278755923.7391651
2022-07-01,284221726.1654233
2022-08-01,289687528.59168136
2022-09-01,295153331.01793957
2022-10-01,300619133.44419765
2022-11-01,306084935.8704558
2022-12-01,311550738.29671395
