Id_comercio,periodo_fecha,Categoria_comercio,Ciudad,segmento_final_nombre,cantidad transacciones,ticket_promedio,monto_estimado_mes,comision_estimada_mes
003QDVFJCJ,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,5,218066.66666666666,1090333.3333333333,54516.666666666664
003QDVFJCJ,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,9,218066.66666666666,1962600.0,98130.0
003QDVFJCJ,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,16,218066.66666666666,3489066.6666666665,174453.33333333334
008LJH6YHN,2021-02-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,2,438000.0,876000.0,43800.0
008LJH6YHN,2021-03-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,5,438000.0,2190000.0,109500.0
008LJH6YHN,2021-04-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,1,438000.0,438000.0,21900.0
008LJH6YHN,2021-05-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,2,438000.0,876000.0,43800.0
00B3DGV62G,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,22,182961.53846153847,4025153.8461538465,201257.69230769234
00B3DGV62G,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,22,182961.53846153847,4025153.8461538465,201257.69230769234
00B3DGV62G,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,21,182961.53846153847,3842192.307692308,192109.6153846154
00ILW1BB3Y,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,1,46562.5,46562.5,2328.125
00ILW1BB3Y,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,2,46562.5,93125.0,4656.25
00ILW1BB3Y,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,5,46562.5,232812.5,11640.625
01AK7UX4UU,2021-03-01,Comercio detallista,Mosquera,Valor medio-alto,1,41375.0,41375.0,2068.75
01AK7UX4UU,2021-04-01,Comercio detallista,Mosquera,Valor medio-alto,3,41375.0,124125.0,6206.25
01OB36KP84,2020-12-01,Alimentos y bebidas,Bogotá D.C.,Valor medio-alto,3,26000.0,78000.0,3900.0
01OB36KP84,2021-05-01,Alimentos y bebidas,Bogotá D.C.,Valor medio-alto,1,26000.0,26000.0,1300.0
01PFUX10Z9,2021-03-01,Alimentos y bebidas,Bogotá D.C.,Valor medio-alto,1,21654.50980392157,21654.50980392157,1082.7254901960785
01PFUX10Z9,2021-04-01,Alimentos y bebidas,Bogotá D.C.,Valor medio-alto,28,21654.50980392157,606326.274509804,30316.3137254902
01PFUX10Z9,2021-05-01,Alimentos y bebidas,Bogotá D.C.,Valor medio-alto,22,21654.50980392157,476399.2156862745,23819.960784313727
024EE2F9LX,2021-03-01,Comercio detallista,Soacha,Valor medio,1,2000.0,2000.0,100.0
0254G0047E,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,3,283125.0,849375.0,42468.75
0254G0047E,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,3,283125.0,849375.0,42468.75
0254G0047E,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,2,283125.0,566250.0,28312.5
0355B2ZSMZ,2021-03-01,Alimentos y bebidas,Suaita,Valor medio-alto,1,89450.0,89450.0,4472.5
0355B2ZSMZ,2021-04-01,Alimentos y bebidas,Suaita,Valor medio-alto,11,89450.0,983950.0,49197.5
0355B2ZSMZ,2021-05-01,Alimentos y bebidas,Suaita,Valor medio-alto,6,89450.0,536700.0,26835.0
04J2LSELVY,2021-03-01,Transporte,Cali,Valor medio-alto,2,99333.33333333333,198666.66666666666,9933.333333333334
04J2LSELVY,2021-04-01,Transporte,Cali,Valor medio-alto,4,99333.33333333333,397333.3333333333,19866.666666666668
04MFYD9KBY,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,2,408075.0,816150.0,40807.5
04MFYD9KBY,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,1,408075.0,408075.0,20403.75
04MFYD9KBY,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,1,408075.0,408075.0,20403.75
058CLYFL10,2021-02-01,Servicios,Bogotá D.C.,Valor medio-alto,1,66285.71428571429,66285.71428571429,3314.2857142857147
058CLYFL10,2021-03-01,Servicios,Bogotá D.C.,Valor medio-alto,4,66285.71428571429,265142.85714285716,13257.142857142859
058CLYFL10,2021-05-01,Servicios,Bogotá D.C.,Valor medio-alto,2,66285.71428571429,132571.42857142858,6628.571428571429
05LBQA2VIO,2021-03-01,Servicios,Bogotá D.C.,Valor medio-alto,3,337944.44444444444,1013833.3333333333,50691.666666666664
05LBQA2VIO,2021-04-01,Servicios,Bogotá D.C.,Valor medio-alto,3,337944.44444444444,1013833.3333333333,50691.666666666664
05LBQA2VIO,2021-05-01,Servicios,Bogotá D.C.,Valor medio-alto,3,337944.44444444444,1013833.3333333333,50691.666666666664
06QX4IFQGD,2021-03-01,Transporte,Cali,Valor medio,1,1000.0,1000.0,50.0
0773NFXBJD,2021-02-01,Comercio detallista,Soacha,Valor medio,1,2000.0,2000.0,100.0
08GD0QW9SY,2021-02-01,Servicios,Bogotá D.C.,Valor medio,2,42500.0,85000.0,4250.0
08QOL1S7YA,2021-03-01,Reparación y limpieza,Bogotá D.C.,Valor medio,1,2000.0,2000.0,100.0
08UFNI3X2R,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio,1,526000.0,526000.0,26300.0
097LK3OZHR,2021-02-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,2,254166.66666666666,508333.3333333333,25416.666666666668
097LK3OZHR,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,1,254166.66666666666,254166.66666666666,12708.333333333334
097LK3OZHR,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,5,254166.66666666666,1270833.3333333333,63541.666666666664
097LK3OZHR,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,4,254166.66666666666,1016666.6666666666,50833.333333333336
09BZY6KN5E,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,18,121187.5,2181375.0,109068.75
09BZY6KN5E,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,14,121187.5,1696625.0,84831.25
0AAKONZD03,2021-03-01,Alimentos y bebidas,Cota,Valor medio-alto,5,51251.851851851854,256259.25925925927,12812.962962962964
0AAKONZD03,2021-04-01,Alimentos y bebidas,Cota,Valor medio-alto,7,51251.851851851854,358762.962962963,17938.14814814815
0AAKONZD03,2021-05-01,Alimentos y bebidas,Cota,Valor medio-alto,15,51251.851851851854,768777.7777777778,38438.88888888889
0AMAEK8YCJ,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,4,925500.0,3702000.0,185100.0
0B5X8PJ0E3,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,4,147642.85714285713,590571.4285714285,29528.571428571428
0B5X8PJ0E3,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,6,147642.85714285713,885857.1428571427,44292.85714285714
0B5X8PJ0E3,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,18,147642.85714285713,2657571.428571428,132878.57142857142
0BY8U7KCBS,2021-01-01,Comercio detallista,Soacha,Valor medio-alto,13,605227.5,7867957.5,393397.875
0BY8U7KCBS,2021-02-01,Comercio detallista,Soacha,Valor medio-alto,6,605227.5,3631365.0,181568.25
0BY8U7KCBS,2021-03-01,Comercio detallista,Soacha,Valor medio-alto,1,605227.5,605227.5,30261.375
0BY8U7KCBS,2021-04-01,Comercio detallista,Soacha,Valor medio-alto,1,605227.5,605227.5,30261.375
0BY8U7KCBS,2021-05-01,Comercio detallista,Soacha,Valor medio-alto,1,605227.5,605227.5,30261.375
0CSUDOGURX,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,4,273850.0,1095400.0,54770.0
0CSUDOGURX,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,7,273850.0,1916950.0,95847.5
0CSUDOGURX,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,10,273850.0,2738500.0,136925.0
0DGJFZLOWI,2021-02-01,Alimentos y bebidas,Bogotá D.C.,Valor medio-alto,5,28483.333333333332,142416.66666666666,7120.833333333333
0DGJFZLOWI,2021-03-01,Alimentos y bebidas,Bogotá D.C.,Valor medio-alto,8,28483.333333333332,227866.66666666666,11393.333333333334
0DGJFZLOWI,2021-04-01,Alimentos y bebidas,Bogotá D.C.,Valor medio-alto,7,28483.333333333332,199383.3333333333,9969.166666666666
0DGJFZLOWI,2021-05-01,Alimentos y bebidas,Bogotá D.C.,Valor medio-alto,10,28483.333333333332,284833.3333333333,14241.666666666666
0DT7B70GHI,2020-12-01,Servicios,Bogotá D.C.,Valor medio,3,1100666.6666666667,3302000.0,165100.0
0DXWUKY4BR,2021-02-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,9,451608.6956521739,4064478.260869565,203223.91304347827
0DXWUKY4BR,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,3,451608.6956521739,1354826.0869565217,67741.3043478261
0DXWUKY4BR,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,5,451608.6956521739,2258043.4782608696,112902.17391304349
0DXWUKY4BR,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,6,451608.6956521739,2709652.1739130435,135482.6086956522
0E4AAVCEUB,2021-03-01,Servicios,Bogotá D.C.,Valor medio,3,317333.3333333333,952000.0,47600.0
0EHHJL2T2B,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio,1,18300.0,18300.0,915.0
0EHHJL2T2B,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio,1,18300.0,18300.0,915.0
0ENZT1J0PS,2021-02-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,8,45250.0,362000.0,18100.0
0ENZT1J0PS,2021-03-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,9,45250.0,407250.0,20362.5
0ENZT1J0PS,2021-04-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,4,45250.0,181000.0,9050.0
0ENZT1J0PS,2021-05-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,9,45250.0,407250.0,20362.5
0FC0D0YX31,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio,1,2000.0,2000.0,100.0
0FF11T68EV,2021-03-01,Comercio detallista,Fusagasugá,Valor medio,1,2000.0,2000.0,100.0
0FHL1TQB2S,2021-03-01,Alimentos y bebidas,Bogotá D.C.,Valor medio-alto,5,41316.0,206580.0,10329.0
0FHL1TQB2S,2021-04-01,Alimentos y bebidas,Bogotá D.C.,Valor medio-alto,11,41316.0,454476.0,22723.800000000003
0FHL1TQB2S,2021-05-01,Alimentos y bebidas,Bogotá D.C.,Valor medio-alto,9,41316.0,371844.0,18592.2
0FNDKBYYVG,2021-02-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,3,113750.0,341250.0,17062.5
0FNDKBYYVG,2021-03-01,Belleza y cuidado personal,Bogotá D.C.,Valor medio-alto,1,113750.0,113750.0,5687.5
0FTPK27J7W,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,5,123090.90909090909,615454.5454545454,30772.727272727272
0FTPK27J7W,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,6,123090.90909090909,738545.4545454546,36927.27272727273
0G4Y78FE5B,2021-03-01,Comercio detallista,Fusagasugá,Valor medio,1,1252000.0,1252000.0,62600.0
0G5NDR3BB6,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,3,195857.14285714287,587571.4285714286,29378.571428571435
0G5NDR3BB6,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,2,195857.14285714287,391714.28571428574,19585.714285714286
0G5NDR3BB6,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,2,195857.14285714287,391714.28571428574,19585.714285714286
0GU0J2GTME,2021-03-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,2,95195.0,190390.0,9519.5
0GU0J2GTME,2021-04-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,1,95195.0,95195.0,4759.75
0GU0J2GTME,2021-05-01,Comercio detallista,Bogotá D.C.,Valor medio-alto,1,95195.0,95195.0,4759.75
0H3X50NI9Z,2021-03-01,Servicios,Bogotá D.C.,Valor medio-alto,4,102666.66666666667,410666.6666666667,20533.333333333336
0H3X50NI9Z,2021-05-01,Servicios,Bogotá D.C.,Valor medio-alto,2,102666.66666666667,205333.33333333334,10266.666666666668
